,ReportNormId,ReportNormName
289,849,Dự phòng giảm giá đầu tư giữ đến ngày đáo hạn
290,850,Trong đó:   + Dự phòng giảm giá
291,851,                 + Dự phòng chung
292,852,                 + Dự phòng cụ thể
293,853,Phân tích chất lượng chứng khoán được phân loại là tài sản có rủi ro tín dụng
294,854,Nợ đủ tiêu chuẩn
295,855,Nợ cần chú ý
296,856,Nợ dưới tiêu chuẩn
297,857,Nợ nghi ngờ
298,858,Nợ có khả năng mất vốn
299,859,Trái phiếu đặc biệt do VAMC phát hành
300,860,Mệnh giá trái phiếu đặc biệt
301,861,Dự phòng trái phiếu đặc biệt
302,862,Các khoản đầu tư dài hạn khác
303,863,Đầu tư vào các tổ chức tín dụng
304,864,Đầu tư vào chứng khoán NY và chưa NY
305,865, + Đầu tư vào chứng khoán NY
306,866, + Đầu tư vào  chứng khoán chưa NY
307,867,Đầu tư dài hạn khác
308,868,"Tăng, giảm tài sản cố định hữu hình:"
309,869,Nguyên giá
310,870, Số dư đầu kỳ
311,871, + Mua trong kỳ
312,872, + Đầu tư XDCB hoàn thành
313,873, + Chuyển từ chi phí xây dựng CBDD
314,874, + Tăng do hợp nhất kinh doanh
315,875, + Tăng khác
316,876, + Chuyển sang BĐS đầu tư (*)
317,877, + Chuyển sang công cụ dụng cụ
318,878, + Chuyển sang chi phí chờ phân bổ
319,879, + Phân loại lại
320,880, + Thanh lý. nhượng bán (*)
321,881, + Giảm khác (*)
322,882, Số dư cuối  kỳ
323,883,Giá trị hao mòn luỹ kế 
324,884, Số dư đầu kỳ
325,885, + Khấu hao trong kỳ
326,886, + Tăng do hợp nhất kinh doanh
327,887, + Tăng khác
328,888, + Chuyển sang BĐS đầu tư (*)
329,889, + Chuyển sang công cụ dụng cụ
330,890, + Chuyển sang chi phí chờ phân bổ
331,891, + Phân loại lại
332,892, + Thanh lý. nhượng bán (*)
333,893, + Trích lập quỹ
334,894, + Giảm khác (*)
335,895, Số dư cuối  kỳ
336,896,"Tăng, giảm tài sản cố định thuê tài chính"
337,897,Nguyên giá TSCĐ thuê TC
338,898,Số dư đầu kỳ
339,899,+ Thuê tài chính trong kỳ
340,900,+ Tăng khác
341,901,+ Mua lại TSCĐ thuê tài chính (*) 
342,902,+ Trả lại TSCĐ thuê tài chính (*)
343,903,+ Giảm khác
344,904,Số dư cuối kỳ
345,905,Giá trị hao mòn lũy kế
346,906,Số dư đầu kỳ
347,907,+ Khấu hao trong kỳ
348,908,+ Tăng khác
349,909,+ Mua lại TSCĐ thuê tài chính (*)
350,910,+ Trả lại TSCĐ thuê tài chính (*)
351,911,+ Giảm khác
352,912,Số dư cuối kỳ
353,913,"Tăng, giảm tài sản cố định vô hình"
